 date,  open, close, high, low, volume,Y
20190724,120.22,119.5,121.13,119,282785,1
20190725,119.3,121.68,121.77,116.2,439752,0
20190726,120.81,121.25,122.5,120.5,235231,0
20190729,121.5,123.75,124.18,120.93,356041,1
20190730,124.1,122.9,124.68,122.5,238944,1
20190731,122.2,120.71,123.1,120.28,242682,0
20190801,120.03,119.03,121.32,118.13,260735,0
20190802,116.31,118.12,118.65,116.02,270011,0
20190805,116.53,116.95,119.39,116.22,269946,0
20190806,116.8,121.28,121.8,114.3,533102,0
20190807,121.8,118.88,121.85,118.86,256857,1
20190808,119.49,120.52,121.61,119.26,252179,1
20190809,121.5,118.02,121.98,117.5,278185,1
20190812,120.99,122.84,123.2,119.01,395370,1
20190813,122,122.3,123,121.38,191874,0
20190814,124.2,125.85,127,123.51,416269,1
20190815,123.9,125.98,126.44,123.51,246999,0
20190816,126.5,126.3,129,125.4,312170,1
20190819,127.3,127.9,128.81,125.73,312746,1
20190820,128,129.59,130.22,127.7,306616,1
20190821,129.49,127.85,129.88,127.6,232900,0
20190822,128.34,130.5,131,127.86,302086,1
20190823,130.54,130.1,131.68,129.18,320667,1
20190826,127.9,127.42,129,126.6,283219,0
20190827,128.77,132.38,133.28,128.45,379670,1
20190828,133.2,133.92,136.55,131.7,343763,1
20190829,134.4,137,137.74,133.72,316290,1
20190830,138.05,141.5,143.1,138.03,440797,1
20190902,141.5,141.89,142.55,138.1,329900,0
20190903,142,141.5,142.79,139.4,274753,1
20190904,140.06,138.31,141,137.5,380555,0
20190905,138.28,138.9,140.24,137.8,300247,0
20190906,139.65,140.01,140.1,137.22,279327,1
20190909,140.06,139.2,140.73,138.6,224902,1
20190910,138.2,137.25,138.5,136.21,247836,0
20190911,135,129.26,135.6,128.68,702309,0
20190912,127.5,131.55,132.14,127.5,412754,0
20190916,130.47,130.92,131.8,129.1,238108,0
20190917,130.1,131.54,133.74,129.58,257861,0
20190918,132.1,135.56,135.92,132.01,363935,1
20190919,136,134.92,136.25,133.71,182044,1
20190920,135.5,136.84,137.52,135.5,257905,1
20190923,136.72,134.85,136.72,132,209573,0
20190924,134.25,136.51,137.72,134.25,268693,0
20190925,136,136.54,137.88,134.66,189634,0
20190926,136.97,134.1,137.62,133.35,219393,1
20190927,133.11,133.8,135.3,132.2,166711,0
20190930,133,129.8,133.95,129.5,265433,0
20191008,129.8,132.76,134.57,129.8,226896,0
20191009,133,131.81,133.09,130.7,168829,1
20191010,128.61,130.99,131.65,126.08,293458,0
20191011,131.5,131.25,132.65,129,226707,1
20191014,133,130.86,133.5,130.3,210410,1
20191015,131,132.69,133.53,130,274876,1
20191016,129.9,130.13,131.25,128.74,274371,0
20191017,131,130.3,131.13,129.75,147555,1
20191018,129.98,127.3,129.98,126.67,325368,0
20191021,127.3,128.12,128.5,126.13,165636,0
20191022,129,129,129.38,128,144421,1
20191023,129,127.32,130.08,127.02,191811,0
20191024,127.55,124.53,128.2,124.25,270605,1
20191025,125.15,128.2,128.5,124.42,257852,1
20191028,128.22,130.05,130.8,127.28,236364,1
20191029,131,131.5,132.65,130.26,214685,1
20191030,131.5,130.95,131.87,129.58,132816,0
20191031,135.66,132.08,136,131.71,333271,1
20191101,132.7,133.7,134.18,131.85,223768,1
20191104,133.9,133.99,135.85,133.84,220472,1
20191105,134.5,134.28,135.28,133.55,163964,1
20191106,134.98,132.63,134.98,132.51,190922,1
20191107,132.64,133.17,133.49,132.12,103992,1
20191108,134.3,134.59,136.63,134,289219,1
20191111,134,132.72,134.88,132,217726,0
20191112,133.1,133.37,133.85,132.19,160138,1
20191113,133.8,134.62,135.28,132.68,181588,1
20191114,134.65,134.55,135.5,133.68,187238,1
20191115,134.98,133.33,134.98,133,130653,1
20191118,133.42,133,134.09,132.5,134641,1
20191119,133,133.5,133.7,132.57,155716,0
20191120,133,134,135.56,132.8,210089,0
20191121,133.65,133.66,134.25,132.91,128165,0
20191122,133.37,128.97,134.07,128.05,283119,0
20191125,128.3,128.7,129.58,125.72,234312,0
20191126,128.71,130.72,130.72,128.71,172908,1
20191127,130.49,131.49,132.3,129.73,154690,0
20191128,132.01,130.81,132.8,129.9,113863,1
20191129,130.6,127.55,130.6,126,258759,0
20191202,127.45,127,128.94,125.2,141217,0
20191203,126.36,126.04,126.79,124.88,139508,0
20191204,127.96,128.45,128.57,126.88,192212,1
20191205,128.5,128.16,128.7,127.5,112778,1
20191206,128.15,130.98,131.2,128.01,202983,0
20191209,131.77,130.49,132.98,130.2,131495,1
20191210,129.88,130.86,131.08,129.5,97115,0
20191211,130.4,128.82,130.85,128,147185,0
20191212,129,127.78,129.22,127.3,129775,1
20191213,128.58,129.52,130.22,128.2,164666,1
20191216,130.22,128.83,130.3,127.6,202120,1
20191217,128.99,130.25,130.33,128.85,252660,1
20191218,130.5,130.94,132.92,130.25,235573,1
20191219,131,129.86,131.65,129.18,130362,1
20191220,130,129.1,130.28,128.9,130458,1
20191223,127.5,128.14,129.5,126.99,156764,0
20191224,128.44,128.7,129.62,128.4,83081,1
20191225,129.16,128.1,129.19,127.69,109821,1
20191226,128.1,128.15,128.32,127.28,101143,0
20191227,128.98,129,130.25,128.82,196530,1
20191230,129.2,132.82,133.25,128.58,340116,1
20191231,133,133.01,134.12,132.2,195074,1
20200102,132,132.08,133.5,129.59,306674,0
20200103,131.6,130.55,132.07,129.61,204692,0
20200106,130,129.2,130.25,128.52,259369,0
20200107,129.5,129.37,131.07,129,223277,1
20200108,128.99,128.89,129.76,128.05,161802,0
20200109,129,130.77,131.2,128.25,255490,1
20200110,130.5,133.62,134.05,130.5,429695,0
20200113,134.26,139.66,140,134.25,496041,1
20200114,140.1,138.56,140.68,138.2,199073,1
20200115,138.56,140.8,142.81,138.55,234789,0
20200116,140.8,140.66,142,139.3,145359,0
20200117,141.26,138.55,141.8,138.3,148478,1
20200120,140.55,137.56,140.66,136.8,167537,1
20200121,136.5,132.62,136.5,132.01,293073,0
20200122,130.99,131.7,132.67,129.76,257530,0
20200123,131.77,126.16,131.77,125,415936,1
20200203,113.54,113.54,113.54,113.54,167639,0
20200204,109,114.5,120,109,710214,0
20200205,115.9,117.51,119.8,114.1,388783,1
20200206,119,119.15,119.94,116.6,306551,1
20200207,119.25,120.58,120.93,117.61,280116,1
20200210,119.5,121.13,122.33,118.58,221876,0
20200211,121.15,124.79,125.5,121.15,245773,1
20200212,124.5,124.49,125.25,122.77,175113,0
20200213,124.88,124.14,126.66,123.37,178628,1
20200214,124.2,123.43,125.88,122.45,169719,1
20200217,123.18,124.3,124.3,122.58,238169,0
20200218,123.8,123.39,124.3,123.01,128727,0
20200219,123.78,126,127.18,122.68,316627,1
20200220,127,130.15,130.58,126.89,334661,1
20200221,130,130,131.2,129.02,207437,0
20200224,129.4,127.1,129.4,126.7,235601,0
20200225,124.8,125.3,127,123.86,240633,0
20200226,123.83,124.1,126.42,123,214178,0
20200227,124.8,126.3,127.75,124.5,235731,1
20200228,124,120.6,124.03,119,366012,0
20200302,120.1,122.65,123.6,119.6,269822,0
20200303,123.7,124.37,125.88,123.7,230923,1
20200304,124,125.27,125.93,124,197575,0
20200305,126.55,133.2,134.88,126,565619,1
20200306,132,130.07,134.88,130,291658,0
20200309,128,126.3,128.25,126.04,244541,0
20200310,126.3,130.72,131.63,126.2,310772,0
20200311,132.5,129.9,132.8,129.5,187635,1
20200312,126.88,126.04,128.11,125.86,252660,0
20200313,120,122.6,125.22,118.88,350887,0
20200316,121.4,115.5,122.4,114.41,370242,0
20200317,114.5,112.36,117.58,108.58,352980,0
20200318,113.2,107.59,115.97,106.69,404423,1
20200319,105.8,102.11,107,98.63,601698,0
20200320,104.32,108.51,109.66,104.21,422064,1
20200323,104,104.51,106.5,103.04,328265,0
20200324,107.08,109.05,109.89,106.04,356363,1
20200325,113.1,114,114.96,111.84,309473,1
20200326,112.98,113.89,116.3,111.9,208801,0
20200327,115.6,115.81,117.8,115.6,235435,1
20200330,112.82,113.23,114.02,111.7,205806,0
20200331,115,115.2,116.59,114.06,188496,1
20200401,116,115,116.99,114.44,175969,1
20200402,114,117.19,117.19,113.52,191537,0
20200403,117.7,117.52,119.47,116.8,175806,1
20200407,120.6,124.14,124.58,120.6,294512,1
20200408,124.14,125.28,125.99,123.43,201134,0
20200409,126.65,124.98,127.6,123.01,158796,1
20200410,124.98,126.52,128.8,124.2,198961,0
20200413,125.15,125,127.02,124.2,146060,0
20200414,126.61,128.45,128.88,125.2,194619,1
20200415,128.47,127.91,130.28,127.21,162967,1
20200416,127.01,126.1,127.8,125.52,188254,0
20200417,127.17,128.82,129.7,126.74,234711,1
20200420,129.92,129.31,130.48,128.88,132188,1
20200421,128.08,126.47,128.95,125.08,205524,0
20200422,126.54,130.3,130.99,125.42,265985,1
20200423,131.2,131.09,134.3,130.8,213319,1
20200424,131.24,131.4,133.29,129.37,167733,1
20200427,132.51,132.7,133.62,130.38,159342,1
20200428,136,139,141.22,134.51,420773,1
20200429,139,135.5,140.15,134,291832,0
20200430,135.5,135.77,139.2,134.02,228641,0
20200506,134.5,138.21,139.05,133.98,251045,0
20200507,138.38,141.91,142,137.37,277962,1
20200508,142.65,142.9,145.5,140.93,243267,1
20200511,143.22,141.85,145.1,141,236820,1
20200512,141,142.9,143.79,140.89,151845,0
20200513,142.9,146,146.21,142.3,196350,0
20200514,145.9,146.3,147,144.4,153613,0
20200515,147.5,145.22,147.99,144.08,160644,1
20200518,145,151.19,152.46,144.6,248810,0
20200519,153.33,151.42,153.49,150.37,176506,1
20200520,152.5,150.85,152.98,150.51,170412,1
20200521,151.86,151.68,153.53,151.03,170922,1
20200522,150.76,144.25,150.78,143.65,383526,0
20200525,144.01,147.03,147.4,141.1,243560,0
20200526,147.03,147.81,149.12,146.15,165119,0
20200527,147.82,146.16,148.4,145.68,145963,1
20200528,146.15,146.16,148.02,144.5,148184,0
20200529,145,148.2,148.59,144.83,163217,0
20200601,150.06,158.59,160.18,150.06,357844,1
20200602,158.39,158.77,163.65,158.02,291586,0
20200603,160.86,158.24,161.76,156.68,252759,1
20200604,158.03,158.85,159.98,157,136318,0
20200605,159.11,160.09,160.68,157.6,159859,1
20200608,159.5,160.61,164.95,159.3,222551,0
20200609,160.58,162.61,163,159.01,161119,0
20200610,162.65,162.54,163.78,161.08,149481,1
20200611,161.8,160.07,162.74,157.95,199461,0
20200612,157,161.5,161.88,156.1,176476,0
20200615,159,157,160.88,156.5,266220,0
20200616,157.1,157.68,159.26,156.4,259847,1
20200617,157.26,155.88,157.5,153.9,232423,0
20200618,156.6,158.36,158.58,155.96,199490,1
20200619,158.5,165.57,166.5,158.43,387028,1
20200622,164,163,164,161,216312,0
20200623,163,167.98,168.4,162.08,265325,0
20200624,168.41,168.61,171.3,167,187986,1
20200629,166.61,167.5,168.5,165.8,199936,0
20200630,168.54,171.12,171.67,168.5,189898,1
20200701,171.12,181.98,185.1,171.12,271818,0
20200702,180,189.49,192.34,179.88,348870,0
20200703,189.99,188.72,190.5,182.5,308159,1
20200706,188.71,192.82,196,185.56,328431,0
20200707,192.78,201.89,206.38,190.32,384111,0
20200708,201.5,203.36,205.8,199,292323,0
20200709,203.39,203.72,205.36,201.5,295243,1
20200710,203,207,211.8,200.8,335476,0
20200713,207,218.2,225,207,488807,0
20200714,218.3,220.9,225.33,212.03,438733,1
20200715,219,223.95,226,217.6,371700,0
20200716,221,201.56,221.05,201.56,705737,0
20200717,195,205.39,209.7,195,529767,0
20200720,205.5,201.68,208.5,191.01,442907,1
20200721,201,205.58,208.9,198.8,317859,0
20200722,204.25,208.9,212.87,202.75,280663,0
20200723,207.3,210.07,211.9,205.6,265413,0
20200724,208,201.39,208.95,198,405386,0
20200727,203.39,204.1,206.8,201.41,246347,1
20200728,205.89,214,216.94,204.67,384497,1
20200729,214.35,214.98,215.48,209.01,301364,1
20200730,214,216.32,218.05,213,253226,0
20200731,216.51,217.5,221.01,214.28,262318,1
20200803,218.18,217.72,219.93,215.2,201454,1
20200804,217.5,215.8,219.8,214,206769,0
20200805,215.6,217.48,217.76,213,186712,0
20200806,217.48,211.02,218.54,209.66,323044,0
20200807,210,207.26,213,203.18,287236,0
20200810,207.26,205.94,208.88,202.94,191521,0
20200811,207,209,213.35,207,250091,1
20200812,207.92,206.47,209.88,203.04,180250,0
20200813,208,206.9,210,205.5,123210,1
20200814,206.3,212.9,213.3,206.22,244315,0
20200817,214.5,219.99,222,214.5,315156,1
20200818,219.99,220.57,223,218.12,190382,0
20200819,220.47,222.2,225.96,217.27,238473,0
20200820,220,216.44,220.92,216,184907,0
20200821,220,218.4,220.98,216.44,157319,1
20200824,219.98,225,226.3,219.19,231522,1
20200825,226,235.6,236.75,225.99,285479,1
20200826,235.4,236.65,239.87,232.2,262100,0
20200827,238.98,238.08,238.98,231.14,213489,1
20200828,235.98,240.5,244.86,233.2,327242,0
20200831,242,240,246.7,240,315715,1
20200901,237.48,236.24,239.8,233.1,300870,0
20200902,235.2,235,239.78,233.8,196331,0
20200903,235.4,238.64,243,235.19,275696,1
20200904,234,230.22,234,226.27,370921,0
20200907,229.35,226.89,233.45,225.1,236227,0
20200908,227.14,221.93,229.35,217.6,357085,1
20200909,218.81,217,220.66,216,227061,0
20200910,220,223.2,225.76,219.96,231541,1
20200911,221.45,227.88,227.88,220.18,204701,0
20200914,229.08,230.08,231.44,224.18,207492,1
20200915,230,230.33,231.4,228,120365,0
20200916,230.74,226.02,232.19,225,184537,1
20200917,222.06,222.65,226,218.9,228016,0
20200918,222.65,229.52,229.52,220.82,190157,0
20200921,228,224.9,229.55,224.47,130285,0
20200922,222.46,222.9,226.77,222,120914,0
20200923,216.6,219.32,221.49,212.46,251795,0
20200924,218.08,216.3,221.37,215.88,163652,0
20200925,217.01,217.2,219.44,216.37,112517,1
20200928,218.34,220.13,222.85,218,152644,1
20200929,222,219.73,222.8,218.77,99721,1
20200930,221,221,225,220.1,162342,1
20201009,225,227.57,229.55,223.29,208934,1
20201012,229,241.75,242.01,229,324557,1
20201013,241.75,242.27,244.6,238.84,171911,0
20201014,241.79,239.4,244.33,238.18,183194,0
20201015,239.51,238.91,240.5,238.34,111761,1
20201016,238.9,236.88,240.82,235.24,118358,0
20201019,240,236.18,241.6,234.6,122901,1
20201020,236,240.98,241,235,179963,0
20201021,240.98,241.77,243.7,239.69,137077,0
20201022,242,241.74,242.99,236.68,150416,1
20201023,240.79,236.63,242.24,236.3,134523,0
20201026,230,232.61,234.59,223,160000,0
20201027,233.01,233.5,235.35,230.7,143027,1
20201028,235,239.98,242,233.42,170762,1
20201029,238.8,250,253.77,238.49,349627,0
20201030,246.95,244.35,250,243.27,239490,0
20201102,247.07,245.7,251.05,244.5,157337,1
20201103,248.1,250.4,250.4,245.5,165351,1
20201104,250.25,253,253,248.3,129928,0
20201105,255.99,259.41,259.85,254.05,189690,1
20201106,260.05,259.3,261.2,255.05,151165,1
20201109,261,270,270,260.6,206284,1
20201110,270.74,272.8,278.65,267.25,223081,1
20201111,270.7,268.9,279,268.35,227873,0
20201112,268.9,267.65,271.49,265,176232,0
20201113,265,265,267.37,258,188431,0